date,close
2001-04-16,
2001-04-17,
2001-04-18,
2001-04-19,
2001-04-20,
2001-04-23,
2001-04-24,
2001-04-25,
2001-04-26,
2001-04-27,
2001-04-30,
2001-05-01,
2001-05-02,
2001-05-03,
2001-05-04,
2001-05-07,
2001-05-08,
2001-05-09,
2001-05-10,
2001-05-11,
2001-05-14,
2001-05-15,
2001-05-16,
2001-05-17,
2001-05-18,
2001-05-21,
2001-05-22,
2001-05-23,
2001-05-24,
2001-05-25,
2001-05-29,
2001-05-30,
2001-05-31,
2001-06-01,
2001-06-04,
2001-06-05,
2001-06-06,
2001-06-07,
2001-06-08,
2001-06-11,
2001-06-12,
2001-06-13,
2001-06-14,
2001-06-15,
2001-06-18,
2001-06-19,
2001-06-20,
2001-06-21,
2001-06-22,
2001-06-25,
2001-06-26,
2001-06-27,
2001-06-28,
2001-06-29,
2001-07-02,
2001-07-03,
2001-07-05,
2001-07-06,
2001-07-09,
2001-07-10,
2001-07-11,
2001-07-12,
2001-07-13,
2001-07-16,
2001-07-17,
2001-07-18,
2001-07-19,
2001-07-20,
2001-07-23,
2001-07-24,
2001-07-25,
2001-07-26,
2001-07-27,
2001-07-30,
2001-07-31,
2001-08-01,
2001-08-02,
2001-08-03,
2001-08-06,
2001-08-07,
2001-08-08,
2001-08-09,
2001-08-10,
2001-08-13,
2001-08-14,
2001-08-15,
2001-08-16,
2001-08-17,
2001-08-20,
2001-08-21,
2001-08-22,
2001-08-23,
2001-08-24,
2001-08-27,
2001-08-28,
2001-08-29,
2001-08-30,
2001-08-31,
2001-09-04,
2001-09-05,
2001-09-06,
2001-09-07,
2001-09-10,
2001-09-17,
2001-09-18,
2001-09-19,
2001-09-20,
2001-09-21,
2001-09-24,
2001-09-25,
2001-09-26,
2001-09-27,
2001-09-28,
2001-10-01,
2001-10-02,
2001-10-03,
2001-10-04,
2001-10-05,
2001-10-08,
2001-10-09,
2001-10-10,
2001-10-11,
2001-10-12,
2001-10-15,
2001-10-16,
2001-10-17,
2001-10-18,
2001-10-19,
2001-10-22,
2001-10-23,
2001-10-24,
2001-10-25,
2001-10-26,
2001-10-29,
2001-10-30,
2001-10-31,
2001-11-01,
2001-11-02,
2001-11-05,
2001-11-06,
2001-11-07,
2001-11-08,
2001-11-09,
2001-11-12,
2001-11-13,
2001-11-14,
2001-11-15,
2001-11-16,
2001-11-19,
2001-11-20,
2001-11-21,
2001-11-23,
2001-11-26,
2001-11-27,
2001-11-28,
2001-11-29,
2001-11-30,
2001-12-03,
2001-12-04,
2001-12-05,
2001-12-06,
2001-12-07,
2001-12-10,
2001-12-11,
2001-12-12,
2001-12-13,
2001-12-14,
2001-12-17,
2001-12-18,
2001-12-19,
2001-12-20,
2001-12-21,
2001-12-24,
2001-12-26,
2001-12-27,
2001-12-28,
2001-12-31,
2002-01-02,
2002-01-03,
2002-01-04,
2002-01-07,
2002-01-08,
2002-01-09,
2002-01-10,
2002-01-11,
2002-01-14,
2002-01-15,
2002-01-16,
2002-01-17,
2002-01-18,
2002-01-22,
2002-01-23,
2002-01-24,
2002-01-25,
2002-01-28,
2002-01-29,
2002-01-30,
2002-01-31,
2002-02-01,
2002-02-04,
2002-02-05,
2002-02-06,
2002-02-07,
2002-02-08,
2002-02-11,
2002-02-12,
2002-02-13,
2002-02-14,
2002-02-15,
2002-02-19,
2002-02-20,
2002-02-21,
2002-02-22,
2002-02-25,
2002-02-26,
2002-02-27,
2002-02-28,
2002-03-01,
2002-03-04,
2002-03-05,
2002-03-06,
2002-03-07,
2002-03-08,
2002-03-11,
2002-03-12,
2002-03-13,
2002-03-14,
2002-03-15,
2002-03-18,
2002-03-19,
2002-03-20,
2002-03-21,
2002-03-22,
2002-03-25,
2002-03-26,
2002-03-27,
2002-03-28,
2002-04-01,
2002-04-02,
2002-04-03,
2002-04-04,
2002-04-05,
2002-04-08,
2002-04-09,
2002-04-10,
2002-04-11,
2002-04-12,
2002-04-15,
2002-04-16,
2002-04-17,
2002-04-18,
2002-04-19,-0.1425750094948729
2002-04-22,-0.156855298139005
2002-04-23,-0.16050132928218763
2002-04-24,-0.16893277630079762
2002-04-25,-0.16847702240789975
2002-04-26,-0.18427649069502472
2002-04-29,-0.1883023167489556
2002-04-30,-0.18070641853399172
2002-05-01,-0.17067983289023925
2002-05-02,-0.17387011014052411
2002-05-03,-0.1828332700341816
2002-05-06,-0.19886061526775545
2002-05-07,-0.20167109760729218
2002-05-08,-0.17197113558678312
2002-05-09,-0.18154196733763772
2002-05-10,-0.19673376376756557
2002-05-13,-0.18063045955184198
2002-05-14,-0.16278009874667687
2002-05-15,-0.16604633497911125
2002-05-16,-0.16171667299658188
2002-05-17,-0.15761488796050127
2002-05-20,-0.166729965818458
2002-05-21,-0.17432586403342198
2002-05-22,-0.17250284846183062
2002-05-23,-0.1636916065324725
2002-05-24,-0.1744018230155716
2002-05-28,-0.17782172193489498
2002-05-29,-0.17225950782997768
2002-05-30,-0.1745737869320373
2002-05-31,-0.1698757763975156
2002-06-03,-0.18967391304347825
2002-06-04,-0.18765527950310568
2002-06-05,-0.18004658385093175
2002-06-06,-0.19673913043478275
2002-06-07,-0.19767080745341614
2002-06-10,-0.1945652173913045
2002-06-11,-0.2046181449411031
2002-06-12,-0.1997815742257586
2002-06-13,-0.2003937007874016
2002-06-14,-0.19587628865979378
2002-06-17,-0.17286304416904985
2002-06-18,-0.1588942307692307
2002-06-19,-0.17409167807943282
2002-06-20,-0.18464513010553452
2002-06-21,-0.20019334568597436
2002-06-24,-0.1960041891565294
2002-06-25,-0.2140497865141383
2002-06-26,-0.21276081527430912
2002-06-27,-0.19898493514863436
2002-06-28,-0.20277128816563283
2002-07-01,-0.21831950374607267
2002-07-02,-0.2349150084588737
2002-07-03,-0.23056473052445015
2002-07-05,-0.19995166357850636
2002-07-08,-0.20994119068718287
2002-07-09,-0.22965350523771155
2002-07-10,-0.248674659489438
2002-07-11,-0.24255770328684445
2002-07-12,-0.2508767637223718
2002-07-15,-0.24688035233667727
2002-07-16,-0.26139792839083265
2002-07-17,-0.2599298589022103
2002-07-18,-0.28390832721637715
2002-07-19,-0.3091101867710627
2002-07-22,-0.32958160019574256
2002-07-23,-0.34793246880352335
2002-07-24,-0.3090286273550281
2002-07-25,-0.314900905309518
2002-07-26,-0.30185139874398503
2002-07-29,-0.2678411222575646
2002-07-30,-0.2582986705815187
2002-07-31,-0.2565043634287578
2002-08-01,-0.27591550444498814
2002-08-02,-0.29214582823586976
2002-08-05,-0.31677677187831343
2002-08-06,-0.2937770165565614
2002-08-07,-0.2814615447353397
